element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
860884	Polynesian Ruderal Lowland Rainforest Group		5/26/2016	K. Schulz
860726	Hawaiian Riparian &amp; Floodplain Forest &amp; Shrubland Group		5/26/2016	K. Schulz
860793	Hawaiian Montane-Subalpine Mesic-Wet Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860751	Hawaiian Bog Group		5/26/2016	K. Schulz
860815	Polynesian Ruderal Dry Woodland &amp; Scrub Group		5/26/2016	K. Schulz
860875	Hawaiian Lowland Dry Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860801	Hawaiian Lowland Mesic-Wet Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860807	Hawaiian Alpine Bedrock &amp; Scree Group		5/27/2016	K. Schulz
900047	Coastal Plain / Piedmont Cliff Alliance		2/5/2016	M. Russo
684708	<i>Phragmites australis</i> Riverbank Wet Meadow		2/17/2016	M. Pyne
860610	<i>Alnus viridis ssp. sinuata / Carex utriculata</i> Montane-Subalpine-Boreal Marsh, Wet Meadow &amp; Shrubland Macrogroup		2/22/2016	D. Faber-Langendoen
835750	<i>Picea engelmannii - Abies lasiocarpa - Tsuga mertensiana</i> Mesic-Wet Forest &amp; Woodland Group		2/22/2016	D. Faber-Langendoen
860882	<i>Populus balsamifera / Salix</i> spp. - <i>Alnus viridis</i> Floodplain Forest Group		2/22/2016	D. Faber-Langendoen
858170	Central Hardwood Swamp &amp; Flatwoods Forest		2/22/2016	D. Faber-Langendoen
837824	Columbia Plateau Scabland Shrubland		2/22/2016	D. Faber-Langendoen
860862	Hawaiian Scrub &amp; Herb Coastal Strand Group		5/26/2016	K. Schulz
860870	Polynesian Ruderal Subalpine-Montane Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860774	Polynesian Ruderal Scrub &amp; Herb Coastal Strand Group		5/26/2016	K. Schulz
860813	Hawaiian Freshwater Marsh Group		5/27/2016	K. Schulz
860764	Hawaiian Ruderal Freshwater Wet Meadow &amp; Marsh Group		5/27/2016	K. Schulz
860757	Hawaiian Ruderal Coastal Salt Marsh Group		5/27/2016	G. Kittel
794078	<i>Fraxinus anomala - Rhus trilobata</i> Dry Talus Shrubland		8/3/2016	M. Reid
769206	<i>Pinus edulis - Juniperus osteosperma / Ephedra viridis</i> Woodland		8/5/2016	M. Reid
838650	<i>Acer saccharinum - Platanus occidentalis - Celtis</i> spp. Flooded Forest Macrogroup		2/22/2016	D. Faber-Langendoen
849293	<i>Andropogon gerardii - Sporobolus heterolepis - Hesperostipa spartea</i> Grassland Group		2/22/2016	D. Faber-Langendoen
833074	Caribbean Lowland Swamp		2/22/2016	D. Faber-Langendoen
833074	<i>Annona glabra / Chrysobalanus icaco</i> Forest Group		2/22/2016	D. Faber-Langendoen
836893	<i>Arctostaphylos</i> spp. / <i>Festuca roemeri - Danthonia californica</i> Shrub &amp; Herbaceous Bald Group		2/22/2016	D. Faber-Langendoen
948589	<i>Picea mariana</i> Ontario-Québec Boreal Acidic Bog &amp; Swamp Group		2/22/2016	D. Faber-Langendoen
833195	<i>Pinus clausa / Quercus geminata - Quercus myrtifolia</i> Forest &amp; Woodland Group		2/22/2016	D. Faber-Langendoen
858134	<i>Polypodium</i> spp. - <i>Umbilicaria</i> spp. - <i>Danthonia spicata</i> Talus &amp; Bluff Vegetation Group		2/22/2016	D. Faber-Langendoen
860841	Western North American Boreal Acidic Bog &amp; Fen		2/22/2016	D. Faber-Langendoen
860841	<i>Picea mariana / Ledum groenlandicum / Eriophorum brachyantherum</i> Boreal Acidic Bog &amp; Fen Group		2/22/2016	D. Faber-Langendoen
688908	<i>Pinus contorta var. contorta - Thuja plicata / Myrica gale / Sphagnum</i> spp. Treed Bog		2/22/2016	D. Faber-Langendoen/J. Rocchio
684179	<i>Distichlis spicata - (Scirpus nevadensis)</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
686323	<i>Eleocharis quinqueflora</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
688246	<i>Salicornia rubra</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
689319	<i>Eriophorum chamissonis / Sphagnum</i> spp. Fen		2/22/2016	D. Faber-Langendoen/J. Rocchio
687831	<i>Pinus elliottii var. densa / Sabal palmetto / Schizachyrium rhizomatum - Muhlenbergia filipes - Rhynchospora divergens</i> Tropical Woodland	Association is now placed in a warm-temperate set of types.	3/15/2016	D. Faber-Langendoen
860741	Hawaiian Lowland-Coastal Seasonal Rainforest Group		5/26/2016	K. Schulz
860732	Hawaiian Lowland Rainforest Group		5/26/2016	K. Schulz
860776	Polynesian Ruderal Lowland Shrubland, Grassland &amp; Savanna Group		5/26/2016	K. Schulz
860825	Hawaiian Freshwater Aquatic Vegetation Group		5/27/2016	K. Schulz
860787	Hawaiian Dry Cliff Group		5/27/2016	K. Schulz
899817	<i>Pinus contorta / Ledum groenlandicum</i> Treed Bog Alliance		2/22/2016	D. Faber-Langendoen
860727	Hawaiian Lowland Dry Forest &amp; Woodland Group		5/25/2016	K. Schulz
860766	Hawaiian Montane-Subalpine Dry Forest &amp; Woodland Group		5/25/2016	K. Schulz
689866	<i>Populus fremontii</i> Riparian Forest [Placeholder]	elevated to standard	11/25/2016	M. Russo
687491	<i>Baccharis sergiloides</i> Wet Shrubland [Placeholder]	elevated to Provisional	11/30/2016	M. Russo
687994	<i>Viguiera parishii</i> Shrubland [Placeholder]	elevated to Provisional	11/30/2016	M. Russo
688115	<i>Puccinellia nuttalliana</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
683091	<i>Kalmia microphylla - Ledum groenlandicum / Xerophyllum tenax</i> Fen		2/22/2016	D. Faber-Langendoen/J. Rocchio
683752	<i>Ledum groenlandicum - Kalmia microphylla / Sphagnum</i> spp. Fen		2/22/2016	D. Faber-Langendoen/J. Rocchio
943971	<i>Isocoma acradenia</i> Mojave Desert Shrubland		12/5/2016	K. Schulz
899931	<i>Suaeda moquinii - Salicornia rubra</i> Alkaline Wet Scrub Alliance		12/5/2016	K. Schulz
683510	<i>Picea sitchensis - Tsuga mertensiana / Vaccinium ovalifolium / Caltha leptosepala ssp. howellii</i> Woodland		1/31/2017	G. Kittel
685453	<i>Tsuga heterophylla / Vaccinium ovalifolium - Rubus pedatus</i> Forest		1/31/2017	G. Kittel
684661	<i>Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium</i> Forest		2/1/2017	G. Kittel
840531	<i>Acacia greggii - Larrea tridentata - (Hymenoclea salsola)</i> Wash Shrubland [Park Special]	elevated to Provisional	11/17/2016	K. Schulz
840624	<i>Psorothamnus fremontii</i> Shrubland		11/30/2016	K. Schulz
684043	<i>Ephedra californica</i> Shrubland [Placeholder]	elevated to Provisional	11/18/2016	K. Schulz
684376	<i>Picea sitchensis / Rubus spectabilis</i> Woodland		1/31/2017	G. Kittel
683894	<i>Picea sitchensis - Tsuga mertensiana / Vaccinium ovalifolium - Oplopanax horridus</i> Woodland		1/31/2017	G. Kittel
685510	<i>Pseudotsuga menziesii / Rosa gymnocarpa - Holodiscus discolor</i> Forest		1/31/2017	G. Kittel
687475	<i>Pseudotsuga menziesii / Symphoricarpos albus - Holodiscus discolor</i> Forest		1/31/2017	G. Kittel
683696	<i>Menodora spinescens</i> Dwarf-shrubland [Placeholder]	elevated to Provisional	11/18/2016	K. Schulz
688678	<i>Polygonum amphibium</i> Aquatic Vegetation [Placeholder]	elevated to provisional<br /> 	11/26/2016	M. Russo
684298	<i>Prunus fasciculata</i> Shrubland [Placeholder]	elevated to Provisional	11/27/2016	M. Russo
941884	<i>Opuntia acanthocarpa</i> Scrub Alliance		11/30/2016	K. Schulz
899268	<i>Peucephyllum schottii</i> Scrub Alliance		1/19/2017	K. Schulz/J. Evens
684904	<i>Picea sitchensis - Pinus contorta / Gaultheria shallon - Vaccinium ovatum</i> Forest		1/31/2017	G. Kittel
685835	<i>Tsuga heterophylla / Vaccinium ovatum</i> Forest		1/31/2017	G. Kittel
684924	<i>Tsuga heterophylla - Chamaecyparis nootkatensis / Vaccinium ovalifolium</i> Forest		2/1/2017	G. Kittel
686974	<i>Yucca brevifolia</i> Wooded Shrubland [Placeholder]	elevated to Provisional	12/1/2016	M. Russo
687432	<i>Picea sitchensis / Alnus viridis ssp. sinuata</i> Riparian Woodland		1/30/2017	G. Kittel
686922	<i>Picea sitchensis / Carex obnupta - Lysichiton americanus</i> Swamp Forest		1/31/2017	G. Kittel
964073	<i>Pinus echinata - Quercus alba - Quercus stellata / Vaccinium stamineum</i> Outer Piedmont Woodland		1/19/2017	M. Pyne
688776	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium / Nephrophyllidium crista-galli</i> Woodland		1/30/2017	G. Kittel
689671	<i>Thuja plicata - Abies grandis / Polystichum munitum</i> Forest		1/31/2017	G. Kittel
683547	<i>Tsuga mertensiana - Abies amabilis / Caltha leptosepala ssp. howellii</i> Forest		2/1/2017	G. Kittel
689330	Igneous Ozark Talus Sparse Vegetation		2/27/2017	D. Faber-Langendoen
683886	<i>Toxicodendron radicans / (Polymnia cossatotensis)</i> Sparse Vegetation		2/27/2017	D. Faber-Langendoen
959781	Central Midwest-Interior Alkaline Talus Alliance		2/27/2017	D. Faber-Langendoen
685146	Sandstone Midwest Dry Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
685238	Chert Ozark Moist Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
899934	<i>Artemisia californica - Salvia mellifera - Salvia leucophylla</i> Mesic Scrub Alliance		11/9/2016	M. Reid
689819	<i>Pseudotsuga menziesii - Arbutus menziesii / Vicia americana</i> Forest		1/31/2017	G. Kittel
684079	<i>Tsuga heterophylla / Vaccinium ovalifolium - Oplopanax horridus</i> Forest		1/31/2017	G. Kittel
687641	Sandstone Interior Highlands Talus Sparse Vegetation		2/27/2017	D. Faber-Langendoen
689538	<i>Ericameria teretifolia</i> Shrubland [Placeholder]	elevated to Provisional	12/1/2016	M. Russo
900049	Midwest Alkaline Cliff Alliance		2/27/2017	D. Faber-Langendoen
689758	Midwest Maderate Cliff Vegetation		2/27/2017	D. Faber-Langendoen
860729	Hawaiian Vernal Pool Group		5/27/2016	K. Schulz
860836	Polynesian Coastal Salt Marsh Group		5/27/2016	K. Schulz
860792	Hawaiian Alpine Scrub Group		5/27/2016	K. Schulz
955880	Hawaiian Seagrass Bed Group		5/27/2016	K. Schulz
902979	Tropical Pacific Forest Plantation Cultural Subgroup		5/27/2016	K. Schulz
899048	<i>Salix exigua - Forestiera pubescens</i> Warm Desert Wet Shrubland Alliance		1/20/2017	K. Schulz
688227	<i>Abies amabilis / Vaccinium membranaceum / Xerophyllum tenax</i> Forest		1/30/2017	G. Kittel
688873	<i>Abies amabilis / Oplopanax horridus</i> Swamp Forest		1/30/2017	G. Kittel
689236	<i>Abies lasiocarpa / Valeriana sitchensis</i> Forest		1/30/2017	G. Kittel
687137	<i>Picea sitchensis - Alnus rubra / Rubus spectabilis</i> Riparian Woodland		1/30/2017	G. Kittel
685454	<i>Tsuga heterophylla / Vaccinium ovalifolium / Dryopteris expansa</i> Forest		1/31/2017	G. Kittel
683612	<i>Tsuga heterophylla / Vaccinium ovalifolium / Lysichiton americanus</i> Woodland		1/31/2017	G. Kittel
959774	Eastern Boreal - Sub-boreal Alkaline Talus Alliance		2/5/2016	M. Russo
688812	<i>Fagus grandifolia - Carya</i> spp. / (<i>Acer negundo, Magnolia macrophylla, Tilia americana var. heterophylla</i>) Temporarily Flooded Forest		2/11/2016	M. Russo
934888	<i>Sullivantia hapemanii - Mimulus</i> spp. Wet Rock Vegetation [Placeholder]		2/11/2016	M. Russo
686723	<i>Salix interior / Phragmites australis</i> Wet Shrubland		2/17/2016	M. Pyne
689596	<i>Leymus cinereus - Distichlis spicata</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
683374	<i>Distichlis spicata</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
686893	<i>Carex unilateralis - Hordeum brachyantherum</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
684932	<i>Alnus rubra / Athyrium filix-femina - Lysichiton americanus</i> Forest		2/22/2016	D. Faber-Langendoen/J. Rocchio
685195	<i>arex densa - Deschampsia caespitosa</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
899196	<i>Ledum glandulosum - Ledum groenlandicum</i> Acidic Shrub Fen Alliance		2/22/2016	D. Faber-Langendoen
794078	<i>Fraxinus anomala - Rhus trilobata</i> Talus Shrubland	adding "Dry" to the name to help distinguish this from mesic/riparian sites that can also be on talus slopes near water	7/14/2016	G. Kittel
849120	<i>Adiantum</i> spp. - <i>Mimulus</i> spp. - <i>Aquilegia</i> spp. Colorado Plateau Hanging Garden Group		2/22/2016	D. Faber-Langendoen
857208	<i>Alnus</i> spp. - <i>Salix</i> spp. - <i>Spiraea</i> spp. Lowland Riparian &amp; Wet Slope Shrubland Group		2/22/2016	D. Faber-Langendoen
860603	<i>Amelanchier alnifolia / Festuca idahoensis - Pseudoroegneria spicata</i> Central Rocky Mountain Montane-Foothill Grassland &amp; Shrubland Macrogroup		2/22/2016	D. Faber-Langendoen
848795	<i>Deschampsia beringensis - Argentina egedii - Carex obnupta</i> Vancouverian Freshwater Coastal Marsh &amp; Meadow Group		2/22/2016	D. Faber-Langendoen
836963	<i>Magnolia virginiana - Gordonia lasianthus - Pinus serotina</i> Forest Group		2/22/2016	D. Faber-Langendoen
838641	<i>Pinus edulis - Juniperus monosperma</i> Southern Rocky Mountain &amp; Colorado Plateau Woodland Macrogroup		2/22/2016	D. Faber-Langendoen
837087	<i>Populus deltoides / Juniperus horizontalis - Ammophila breviligulata</i> Coastal Dune &amp; Grassland Group		2/22/2016	D. Faber-Langendoen
683415	<i>Thuja plicata - Tsuga heterophylla / Lysichiton americanus / Sphagnum</i> spp. Swamp Forest		2/22/2016	D. Faber-Langendoen/J. Rocchio
687887	<i>Quercus texana - (Carya aquatica, Taxodium distichum) / Cornus foemina / Symphyotrichum lanceolatum - Leersia virginica</i> Floodplain Forest		3/29/2016	M.J. Russo
860773	Caribbean Flooded Forest Group		7/18/2016	C.  Nordman
687864	<i>Populus fremontii / Baccharis emoryi</i> Riparian Woodland		8/5/2016	M. Reid
738000	<i>Baccharis emoryi - Salix exigua</i> Wet Shrubland		8/9/2016	M. Reid
893476	Midwest Limestone-Dolomite Outcrop		2/11/2016	M. Russo
885459	<i>Alnus serrulata</i> Saturated Appalachian-Piedmont Seepage Shrubland		2/12/2016	M. Russo
860816	Hawaiian Dry-Site Lava Flow Group		5/27/2016	K. Schulz
860826	Caribbean Salt Flat &amp; Pond Group		7/18/2016	C. Nordman
899881	<i>Picea mariana - Abies balsamea / Osmunda cinnamomea / Sphagnum</i> spp. Swamp Forest Alliance		2/5/2016	D. Faber-Langendoen
860867	Caribbean Coastal Cactus Scrub Group		2/8/2016	C. Nordman
683289	<i>Muhlenbergia filipes - Andropogon glomeratus var. pumilus - Saccharum giganteum</i> Successional Marsh		2/10/2016	M. Russo
688836	<i>Pinus clausa / Ceratiola ericoides / Cladonia</i> spp. Woodland		2/11/2016	M. Russo
857662	<i>Fouquieria splendens - Nolina</i> spp. - <i>Atriplex hymenelytra</i> Sparse Vegetation Group		2/22/2016	D. Faber-Langendoen
856661	<i>Leymus mollis - Leymus arenarius - Abronia latifolia</i> Dune &amp; Grassland Group		2/22/2016	D. Faber-Langendoen
838784	<i>Magnolia virginiana - Persea palustris - Pinus serotina</i> Swamp Macrogroup		2/22/2016	D. Faber-Langendoen
948606	<i>Picea mariana - Abies balsamea</i> Atlantic Boreal Acidic Bog &amp; Swamp Group		2/22/2016	D. Faber-Langendoen
833194	<i>Pinus elliottii var. densa / Coccothrinax argentata - Sideroxylon salicifolium</i> Rockland Group		2/22/2016	D. Faber-Langendoen
860485	Great Plains Floodplain Forest		2/22/2016	D. Faber-Langendoen
860485	<i>Populus deltoides - Fraxinus pennsylvanica / Salix</i> spp. Flooded Forest Macrogroup		2/22/2016	D. Faber-Langendoen
837856	Central Rocky Mountain High Montane Mesic Shrubland		2/22/2016	D. Faber-Langendoen
907535	North American Boreal &amp; Sub-boreal Acidic Bog &amp; Fen		2/22/2016	D. Faber-Langendoen
907535	<i>Chamaedaphne calyculata - Vaccinium oxycoccos - Carex oligosperma</i> Acidic Bog &amp; Fen Macrogroup		2/22/2016	D. Faber-Langendoen
839507	Eastern North American Boreal Acidic Bog &amp; Fen		2/22/2016	D. Faber-Langendoen
839507	<i>Chamaedaphne calyculata - Carex oligosperma - Kalmia polifolia</i> Boreal Acidic Bog &amp; Fen Group		2/22/2016	D. Faber-Langendoen
860780	Hawaiian Montane Rainforest &amp; Cloud Forest Group		5/26/2016	K. Schulz
877233	Temperate &amp; Boreal Freshwater Aquatic Vegetation Formation		8/3/2016	D. Faber-Langendoen
793511	<i>Ericameria nauseosa</i> Sparse Shrubland		8/9/2016	M. Reid
684732	<i>Tsuga mertensiana - Abies amabilis / Oplopanax horridus</i> Swamp Forest		1/30/2017	G. Kittel
684925	<i>Tsuga heterophylla - Chamaecyparis nootkatensis / Vaccinium ovalifolium / Lysichiton americanus</i> Swamp Forest		2/1/2017	G. Kittel
687857	<i>Tsuga heterophylla - Thuja plicata / Polystichum munitum</i> Forest		2/1/2017	G. Kittel
685537	<i>Tsuga mertensiana / Vaccinium ovalifolium / Caltha leptosepala ssp. howellii</i> Woodland		2/1/2017	G. Kittel
688751	<i>Tsuga mertensiana - Abies amabilis / Elliottia pyroliflorus</i> Woodland		2/1/2017	G. Kittel
860853	North American Arctic &amp; Subarctic Dwarf Willoa Tundra		2/5/2016	D. Faber-Langendoen
860725	Caribbean Coastal Rocky Shore &amp; Cliff Group		2/8/2016	C. Nordman
683185	<i>Carex simulata</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
684064	<i>Prunus serotina / Morella cerifera / Smilax rotundifolia</i> Ruderal Scrub Forest	name was changed to Ruderal in error	5/5/2016	K. Patterson
860804	Hawaiian Montane-Subalpine Dry Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
769486	<i>Celtis laevigata var. reticulata</i> Slickrock Canyon Riparian Woodland		9/1/2016	G. Kittel
687949	Igneous Ozark Moist Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
689294	<i>Pinus strobus - Tsuga canadensis</i> Lower New England / Northern Piedmont Forest		2/11/2016	M. Russo
878891	<i>Geraea canescens</i> Ephemeral Herbaceous Vegetation [Park Special]	elevated to Standard	11/18/2016	K. Schulz
689383	<i>Gutierrezia sarothrae / Pleuraphis rigida</i> Shrub Grassland		11/30/2016	K. Schulz
687235	<i>Viguiera reticulata</i> Shrubland [Placeholder]	elevated to Provisional	11/30/2016	M. Russo
684036	<i>Yucca schidigera</i> Shrubland [Placeholder]	elevated to Provisional	12/1/2016	M. Russo
683421	<i>Picea sitchensis / Menziesia ferruginea - Vaccinium parvifolium</i> Forest		1/31/2017	G. Kittel
685217	<i>Picea sitchensis / Oplopanax horridus / Lysichiton americanus</i> Swamp Forest		1/31/2017	G. Kittel
684062	<i>Picea sitchensis / Vaccinium ovalifolium / Lysichiton americanus</i> Swamp Forest		1/31/2017	G. Kittel
688194	<i>Pinus contorta var. contorta / Gaultheria shallon</i> Forest		1/31/2017	G. Kittel
685014	<i>Abies concolor / Mahonia nervosa - Gaultheria shallon</i> Forest		1/31/2017	G. Kittel
690034	<i>Pseudotsuga menziesii - Tsuga heterophylla / Rhododendron macrophyllum - Vaccinium ovatum - Gaultheria shallon</i> Forest		1/31/2017	G. Kittel
687702	<i>Abies amabilis / Mahonia nervosa</i> Forest		2/1/2017	G. Kittel
688631	<i>Impatiens pallida - Cystopteris bulbifera - Adoxa moschatellina - (Chrysosplenium iowense, Aconitum noveboracense)</i> Algific Talus Herb Vegetation		2/27/2017	D. Faber-Langendoen
893473	Midwest Sandstone Outcrop		2/27/2017	D. Faber-Langendoen
683161	<i>(Hydrangea arborescens, Ribes cynosbati) / Deschampsia flexuosa - Dryopteris marginalis - Dennstaedtia punctilobula</i> Cliff Shrubland		2/27/2017	D. Faber-Langendoen
686752	<i>Hydrangea arborescens / Impatiens (capensis, pallida) - Heuchera villosa</i> Cliff Shrubland		2/27/2017	D. Faber-Langendoen
683987	<i>Larrea tridentata - Atriplex hymenelytra</i> Shrubland	to make clear ATHY is more diagnostic	11/18/2016	K. Schulz
686128	<i>Larrea tridentata / Lycium andersonii - Grayia spinosa</i> Shrubland		11/18/2016	K. Schulz
689193	<i>Abies bracteata</i> Forest [Placeholder]	elevated to Standard	11/25/2016	M. Reid
689576	Cytisus scoparius Ruderal Shrubland [Placeholder]		11/26/2016	M. Russo
688529	<i>Hyptis emoryi</i> Shrubland [Placeholder]	elevated to Provisional	12/1/2016	M. Russo
684764	<i>Artemisia tridentata / Chrysothamnus viscidiflorus / Poa secunda</i> Shrubland		11/29/2016	K. Schulz
687191	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Gaultheria shallon / Nephrophyllidium crista-galli</i> Woodland		1/30/2017	G. Kittel
688210	<i>Picea sitchensis / Oplopanax horridus - Rubus spectabilis</i> Riparian Forest		1/31/2017	G. Kittel
686625	<i>Picea sitchensis / Vaccinium ovalifolium</i> Forest		1/31/2017	G. Kittel
